22:29:43 No readable supervisor status yet.
22:29:48 RUNNING: 0 games, 0 positions, 0 ranked moves
22:29:53 RUNNING: 0 games, 2 positions, 20 ranked moves
22:29:58 RUNNING: 0 games, 7 positions, 70 ranked moves
22:30:03 RUNNING: 0 games, 11 positions, 110 ranked moves
22:30:08 RUNNING: 0 games, 16 positions, 160 ranked moves
22:30:13 RUNNING: 0 games, 20 positions, 200 ranked moves
22:30:18 RUNNING: 1 games, 24 positions, 240 ranked moves
22:30:23 RUNNING: 1 games, 29 positions, 290 ranked moves
22:30:28 RUNNING: 1 games, 33 positions, 330 ranked moves
22:30:33 RUNNING: 1 games, 37 positions, 370 ranked moves
22:30:38 RUNNING: 1 games, 40 positions, 400 ranked moves
22:30:43 RUNNING: 2 games, 45 positions, 449 ranked moves
22:30:48 RUNNING: 2 games, 49 positions, 489 ranked moves
22:30:53 RUNNING: 2 games, 54 positions, 539 ranked moves
22:30:58 RUNNING: 2 games, 58 positions, 579 ranked moves
22:31:03 RUNNING: 3 games, 62 positions, 619 ranked moves
22:31:08 RUNNING: 3 games, 66 positions, 659 ranked moves
22:31:13 RUNNING: 3 games, 71 positions, 709 ranked moves
22:31:18 RUNNING: 3 games, 75 positions, 749 ranked moves
22:31:23 RUNNING: 3 games, 79 positions, 789 ranked moves
22:31:28 RUNNING: 3 games, 81 positions, 809 ranked moves
22:31:33 RUNNING: 3 games, 85 positions, 849 ranked moves
22:31:39 RUNNING: 4 games, 89 positions, 872 ranked moves
22:31:44 RUNNING: 4 games, 93 positions, 912 ranked moves
22:31:49 RUNNING: 4 games, 98 positions, 962 ranked moves
22:31:54 RUNNING: 4 games, 102 positions, 1002 ranked moves
22:31:59 RUNNING: 4 games, 106 positions, 1042 ranked moves
22:32:04 RUNNING: 5 games, 110 positions, 1082 ranked moves
22:32:09 RUNNING: 5 games, 114 positions, 1122 ranked moves
22:32:14 RUNNING: 5 games, 118 positions, 1162 ranked moves
22:32:19 RUNNING: 5 games, 123 positions, 1212 ranked moves
22:32:24 RUNNING: 5 games, 126 positions, 1242 ranked moves
22:32:29 RUNNING: 5 games, 128 positions, 1262 ranked moves
22:32:34 RUNNING: 6 games, 132 positions, 1292 ranked moves
22:32:39 RUNNING: 6 games, 136 positions, 1332 ranked moves
22:32:44 RUNNING: 6 games, 140 positions, 1372 ranked moves
22:32:49 RUNNING: 6 games, 144 positions, 1412 ranked moves
22:32:54 RUNNING: 6 games, 149 positions, 1462 ranked moves
22:32:59 RUNNING: 6 games, 152 positions, 1492 ranked moves
22:33:04 RUNNING: 7 games, 156 positions, 1532 ranked moves
22:33:09 RUNNING: 7 games, 160 positions, 1572 ranked moves
22:33:14 RUNNING: 7 games, 165 positions, 1622 ranked moves
22:33:19 RUNNING: 7 games, 169 positions, 1662 ranked moves
22:33:24 RUNNING: 7 games, 172 positions, 1692 ranked moves
22:33:29 RUNNING: 8 games, 176 positions, 1732 ranked moves
22:33:34 RUNNING: 8 games, 180 positions, 1772 ranked moves
22:33:39 RUNNING: 8 games, 185 positions, 1822 ranked moves
22:33:44 RUNNING: 8 games, 189 positions, 1862 ranked moves
22:33:49 RUNNING: 8 games, 192 positions, 1892 ranked moves
22:33:54 RUNNING: 9 games, 197 positions, 1942 ranked moves
22:33:59 RUNNING: 9 games, 201 positions, 1982 ranked moves
22:34:04 RUNNING: 9 games, 205 positions, 2022 ranked moves
22:34:09 RUNNING: 9 games, 209 positions, 2062 ranked moves
22:34:14 RUNNING: 9 games, 214 positions, 2112 ranked moves
22:34:19 RUNNING: 9 games, 217 positions, 2142 ranked moves
22:34:24 RUNNING: 9 games, 219 positions, 2162 ranked moves
22:34:29 RUNNING: 10 games, 223 positions, 2202 ranked moves
22:34:34 RUNNING: 10 games, 228 positions, 2252 ranked moves
22:34:39 RUNNING: 10 games, 232 positions, 2292 ranked moves
22:34:44 RUNNING: 10 games, 236 positions, 2332 ranked moves
22:34:49 RUNNING: 10 games, 239 positions, 2362 ranked moves
22:34:54 RUNNING: 11 games, 243 positions, 2400 ranked moves
22:34:59 RUNNING: 11 games, 247 positions, 2440 ranked moves
22:35:04 RUNNING: 11 games, 252 positions, 2490 ranked moves
22:35:09 RUNNING: 11 games, 256 positions, 2530 ranked moves
22:35:14 RUNNING: 11 games, 260 positions, 2570 ranked moves
22:35:19 RUNNING: 11 games, 262 positions, 2590 ranked moves
22:35:24 RUNNING: 11 games, 263 positions, 2600 ranked moves
22:35:29 RUNNING: 12 games, 266 positions, 2627 ranked moves
22:35:34 RUNNING: 12 games, 270 positions, 2667 ranked moves
22:35:39 RUNNING: 12 games, 274 positions, 2707 ranked moves
22:35:44 RUNNING: 12 games, 279 positions, 2757 ranked moves
22:35:49 RUNNING: 12 games, 283 positions, 2797 ranked moves
22:35:54 RUNNING: 12 games, 287 positions, 2837 ranked moves
22:35:59 RUNNING: 13 games, 291 positions, 2877 ranked moves
22:36:04 RUNNING: 13 games, 296 positions, 2927 ranked moves
22:36:09 RUNNING: 13 games, 300 positions, 2967 ranked moves
22:36:14 RUNNING: 13 games, 305 positions, 3017 ranked moves
22:36:19 RUNNING: 13 games, 309 positions, 3057 ranked moves
22:36:24 RUNNING: 13 games, 310 positions, 3067 ranked moves
22:36:29 RUNNING: 14 games, 315 positions, 3117 ranked moves
22:36:34 RUNNING: 14 games, 319 positions, 3157 ranked moves
22:36:39 RUNNING: 14 games, 324 positions, 3207 ranked moves
22:36:44 RUNNING: 14 games, 328 positions, 3247 ranked moves
22:36:49 RUNNING: 14 games, 331 positions, 3277 ranked moves
22:36:54 RUNNING: 15 games, 335 positions, 3314 ranked moves
22:36:59 RUNNING: 15 games, 340 positions, 3364 ranked moves
22:37:04 RUNNING: 15 games, 344 positions, 3404 ranked moves
22:37:09 RUNNING: 15 games, 347 positions, 3434 ranked moves
22:37:14 RUNNING: 15 games, 351 positions, 3474 ranked moves
22:37:19 RUNNING: 16 games, 355 positions, 3514 ranked moves
22:37:24 RUNNING: 16 games, 360 positions, 3564 ranked moves
22:37:29 RUNNING: 16 games, 364 positions, 3604 ranked moves
22:37:34 RUNNING: 16 games, 368 positions, 3644 ranked moves
22:37:39 RUNNING: 16 games, 372 positions, 3684 ranked moves
22:37:44 RUNNING: 17 games, 376 positions, 3724 ranked moves
22:37:49 RUNNING: 17 games, 380 positions, 3764 ranked moves
22:37:54 RUNNING: 17 games, 385 positions, 3814 ranked moves
22:37:59 RUNNING: 17 games, 389 positions, 3854 ranked moves
22:38:04 RUNNING: 17 games, 393 positions, 3894 ranked moves
22:38:09 RUNNING: 17 games, 396 positions, 3924 ranked moves
22:38:14 RUNNING: 18 games, 401 positions, 3966 ranked moves
22:38:19 RUNNING: 18 games, 405 positions, 4006 ranked moves
22:38:24 RUNNING: 18 games, 410 positions, 4056 ranked moves
22:38:29 RUNNING: 18 games, 414 positions, 4096 ranked moves
22:38:34 RUNNING: 18 games, 418 positions, 4136 ranked moves
22:38:39 RUNNING: 19 games, 422 positions, 4176 ranked moves
22:38:44 RUNNING: 19 games, 426 positions, 4216 ranked moves
22:38:49 RUNNING: 19 games, 431 positions, 4266 ranked moves
22:38:54 RUNNING: 19 games, 435 positions, 4306 ranked moves
22:38:59 RUNNING: 20 games, 439 positions, 4346 ranked moves
22:39:04 RUNNING: 20 games, 444 positions, 4396 ranked moves
22:39:09 RUNNING: 20 games, 448 positions, 4436 ranked moves
22:39:14 RUNNING: 20 games, 453 positions, 4486 ranked moves
22:39:19 RUNNING: 20 games, 457 positions, 4526 ranked moves
22:39:24 RUNNING: 21 games, 461 positions, 4563 ranked moves
22:39:29 RUNNING: 21 games, 465 positions, 4603 ranked moves
22:39:34 RUNNING: 21 games, 470 positions, 4653 ranked moves
22:39:39 RUNNING: 21 games, 474 positions, 4693 ranked moves
22:39:44 RUNNING: 21 games, 478 positions, 4733 ranked moves
22:39:49 RUNNING: 22 games, 482 positions, 4772 ranked moves
22:39:54 RUNNING: 22 games, 487 positions, 4822 ranked moves
22:39:59 RUNNING: 22 games, 491 positions, 4862 ranked moves
22:40:04 RUNNING: 22 games, 496 positions, 4912 ranked moves
22:40:09 RUNNING: 22 games, 500 positions, 4952 ranked moves
22:40:14 RUNNING: 23 games, 504 positions, 4992 ranked moves
22:40:19 RUNNING: 23 games, 508 positions, 5032 ranked moves
22:40:24 RUNNING: 23 games, 513 positions, 5082 ranked moves
22:40:29 RUNNING: 23 games, 517 positions, 5122 ranked moves
22:40:34 RUNNING: 23 games, 520 positions, 5152 ranked moves
22:40:39 RUNNING: 24 games, 524 positions, 5184 ranked moves
22:40:44 RUNNING: 24 games, 528 positions, 5224 ranked moves
22:40:49 RUNNING: 24 games, 532 positions, 5264 ranked moves
22:40:54 RUNNING: 24 games, 537 positions, 5314 ranked moves
22:40:59 RUNNING: 24 games, 541 positions, 5354 ranked moves
22:41:04 RUNNING: 24 games, 545 positions, 5394 ranked moves
22:41:09 RUNNING: 25 games, 549 positions, 5434 ranked moves
22:41:14 RUNNING: 25 games, 553 positions, 5474 ranked moves
22:41:19 RUNNING: 25 games, 557 positions, 5514 ranked moves
22:41:24 RUNNING: 25 games, 562 positions, 5564 ranked moves
22:41:29 RUNNING: 25 games, 566 positions, 5604 ranked moves
22:41:34 RUNNING: 26 games, 570 positions, 5642 ranked moves
22:41:39 RUNNING: 26 games, 574 positions, 5682 ranked moves
22:41:44 RUNNING: 26 games, 578 positions, 5722 ranked moves
22:41:49 RUNNING: 26 games, 583 positions, 5772 ranked moves
22:41:54 RUNNING: 26 games, 586 positions, 5802 ranked moves
22:41:59 RUNNING: 27 games, 591 positions, 5852 ranked moves
22:42:04 RUNNING: 27 games, 595 positions, 5892 ranked moves
22:42:09 RUNNING: 27 games, 599 positions, 5932 ranked moves
22:42:14 RUNNING: 27 games, 604 positions, 5982 ranked moves
22:42:19 RUNNING: 27 games, 608 positions, 6022 ranked moves
22:42:24 RUNNING: 28 games, 611 positions, 6052 ranked moves
22:42:29 RUNNING: 28 games, 616 positions, 6102 ranked moves
22:42:34 RUNNING: 28 games, 620 positions, 6142 ranked moves
22:42:39 RUNNING: 28 games, 625 positions, 6192 ranked moves
22:42:44 RUNNING: 28 games, 629 positions, 6232 ranked moves
22:42:49 RUNNING: 28 games, 631 positions, 6252 ranked moves
22:42:54 RUNNING: 28 games, 635 positions, 6292 ranked moves
22:42:59 RUNNING: 29 games, 639 positions, 6322 ranked moves
22:43:04 RUNNING: 29 games, 643 positions, 6362 ranked moves
22:43:09 RUNNING: 29 games, 648 positions, 6412 ranked moves
22:43:14 RUNNING: 29 games, 652 positions, 6452 ranked moves
22:43:19 RUNNING: 29 games, 655 positions, 6482 ranked moves
22:43:24 RUNNING: 29 games, 659 positions, 6518 ranked moves
22:43:29 RUNNING: 30 games, 663 positions, 6550 ranked moves
22:43:34 RUNNING: 30 games, 668 positions, 6600 ranked moves
22:43:39 RUNNING: 30 games, 672 positions, 6640 ranked moves
22:43:44 RUNNING: 30 games, 677 positions, 6690 ranked moves
22:43:49 RUNNING: 30 games, 681 positions, 6730 ranked moves
22:43:54 RUNNING: 31 games, 685 positions, 6770 ranked moves
22:43:59 RUNNING: 31 games, 690 positions, 6820 ranked moves
22:44:04 RUNNING: 31 games, 694 positions, 6860 ranked moves
22:44:09 RUNNING: 31 games, 698 positions, 6900 ranked moves
22:44:14 RUNNING: 32 games, 702 positions, 6940 ranked moves
22:44:19 RUNNING: 32 games, 707 positions, 6990 ranked moves
22:44:24 RUNNING: 32 games, 711 positions, 7030 ranked moves
22:44:29 RUNNING: 32 games, 715 positions, 7070 ranked moves
22:44:34 RUNNING: 32 games, 719 positions, 7110 ranked moves
22:44:39 RUNNING: 33 games, 724 positions, 7158 ranked moves
22:44:44 RUNNING: 33 games, 728 positions, 7198 ranked moves
22:44:49 RUNNING: 33 games, 732 positions, 7238 ranked moves
22:44:54 RUNNING: 33 games, 737 positions, 7288 ranked moves
22:44:59 RUNNING: 33 games, 740 positions, 7318 ranked moves
22:45:04 RUNNING: 34 games, 744 positions, 7350 ranked moves
22:45:09 RUNNING: 34 games, 748 positions, 7390 ranked moves
22:45:14 RUNNING: 34 games, 753 positions, 7440 ranked moves
22:45:19 RUNNING: 34 games, 757 positions, 7480 ranked moves
22:45:24 RUNNING: 34 games, 761 positions, 7520 ranked moves
22:45:30 RUNNING: 35 games, 765 positions, 7560 ranked moves
22:45:35 RUNNING: 35 games, 769 positions, 7600 ranked moves
22:45:40 RUNNING: 35 games, 774 positions, 7650 ranked moves
22:45:45 RUNNING: 35 games, 778 positions, 7690 ranked moves
22:45:50 RUNNING: 35 games, 781 positions, 7720 ranked moves
22:45:55 RUNNING: 36 games, 785 positions, 7760 ranked moves
22:46:00 RUNNING: 36 games, 790 positions, 7810 ranked moves
22:46:05 RUNNING: 36 games, 794 positions, 7850 ranked moves
22:46:10 RUNNING: 36 games, 798 positions, 7890 ranked moves
22:46:15 RUNNING: 36 games, 802 positions, 7930 ranked moves
22:46:20 RUNNING: 37 games, 806 positions, 7970 ranked moves
22:46:25 RUNNING: 37 games, 810 positions, 8010 ranked moves
22:46:30 RUNNING: 37 games, 814 positions, 8050 ranked moves
22:46:35 RUNNING: 37 games, 818 positions, 8090 ranked moves
22:46:40 RUNNING: 37 games, 823 positions, 8140 ranked moves
22:46:45 RUNNING: 37 games, 826 positions, 8170 ranked moves
22:46:50 RUNNING: 38 games, 830 positions, 8210 ranked moves
22:46:55 RUNNING: 38 games, 834 positions, 8250 ranked moves
22:47:00 RUNNING: 38 games, 839 positions, 8300 ranked moves
22:47:05 RUNNING: 38 games, 843 positions, 8340 ranked moves
22:47:10 RUNNING: 38 games, 847 positions, 8380 ranked moves
22:47:15 RUNNING: 38 games, 849 positions, 8400 ranked moves
22:47:20 RUNNING: 39 games, 853 positions, 8440 ranked moves
22:47:25 RUNNING: 39 games, 857 positions, 8480 ranked moves
22:47:30 RUNNING: 39 games, 862 positions, 8530 ranked moves
22:47:35 RUNNING: 39 games, 866 positions, 8570 ranked moves
22:47:40 RUNNING: 39 games, 870 positions, 8610 ranked moves
22:47:45 RUNNING: 40 games, 874 positions, 8649 ranked moves
22:47:50 RUNNING: 40 games, 879 positions, 8699 ranked moves
22:48:00 RUNNING: 40 games, 883 positions, 8739 ranked moves
22:48:05 RUNNING: 40 games, 887 positions, 8779 ranked moves
22:48:10 RUNNING: 40 games, 892 positions, 8829 ranked moves
22:48:15 RUNNING: 40 games, 896 positions, 8869 ranked moves
22:48:20 RUNNING: 40 games, 899 positions, 8899 ranked moves
22:52:20 RUNNING: 41 games, 903 positions, 8938 ranked moves
22:52:25 RUNNING: 41 games, 908 positions, 8988 ranked moves
22:52:30 RUNNING: 41 games, 912 positions, 9028 ranked moves
22:52:35 RUNNING: 41 games, 916 positions, 9068 ranked moves
22:52:40 RUNNING: 41 games, 920 positions, 9108 ranked moves
22:52:45 RUNNING: 42 games, 924 positions, 9148 ranked moves
22:52:50 RUNNING: 42 games, 928 positions, 9188 ranked moves
22:52:55 RUNNING: 42 games, 933 positions, 9238 ranked moves
22:53:00 RUNNING: 42 games, 937 positions, 9278 ranked moves
22:53:05 RUNNING: 42 games, 941 positions, 9318 ranked moves
22:53:10 RUNNING: 42 games, 944 positions, 9348 ranked moves
22:53:15 RUNNING: 43 games, 948 positions, 9387 ranked moves
22:53:20 RUNNING: 43 games, 953 positions, 9437 ranked moves
22:53:25 RUNNING: 43 games, 957 positions, 9477 ranked moves
22:53:30 RUNNING: 43 games, 961 positions, 9517 ranked moves
22:53:35 RUNNING: 43 games, 965 positions, 9557 ranked moves
22:53:40 RUNNING: 43 games, 969 positions, 9595 ranked moves
22:53:45 RUNNING: 43 games, 971 positions, 9606 ranked moves
22:53:50 RUNNING: 43 games, 975 positions, 9625 ranked moves
22:53:55 RUNNING: 44 games, 979 positions, 9657 ranked moves
22:54:00 RUNNING: 44 games, 984 positions, 9707 ranked moves
22:54:05 RUNNING: 44 games, 988 positions, 9747 ranked moves
22:54:10 RUNNING: 44 games, 992 positions, 9787 ranked moves
22:54:15 RUNNING: 44 games, 996 positions, 9827 ranked moves
22:54:20 RUNNING: 45 games, 1000 positions, 9867 ranked moves
22:54:25 RUNNING: 45 games, 1004 positions, 9907 ranked moves
22:54:30 RUNNING: 45 games, 1008 positions, 9947 ranked moves
22:54:35 RUNNING: 45 games, 1013 positions, 9997 ranked moves
22:54:40 RUNNING: 45 games, 1017 positions, 10037 ranked moves
22:54:45 RUNNING: 45 games, 1022 positions, 10087 ranked moves
22:54:50 RUNNING: 45 games, 1025 positions, 10117 ranked moves
22:54:55 RUNNING: 45 games, 1027 positions, 10137 ranked moves
22:55:00 RUNNING: 46 games, 1031 positions, 10177 ranked moves
22:55:05 RUNNING: 46 games, 1035 positions, 10217 ranked moves
22:55:10 RUNNING: 46 games, 1040 positions, 10267 ranked moves
22:55:15 RUNNING: 46 games, 1044 positions, 10307 ranked moves
22:55:20 RUNNING: 46 games, 1048 positions, 10347 ranked moves
22:55:25 RUNNING: 47 games, 1052 positions, 10379 ranked moves
22:55:30 RUNNING: 47 games, 1057 positions, 10429 ranked moves
22:55:35 RUNNING: 47 games, 1061 positions, 10469 ranked moves
22:55:40 RUNNING: 47 games, 1066 positions, 10519 ranked moves
22:55:45 RUNNING: 47 games, 1069 positions, 10549 ranked moves
22:55:50 RUNNING: 48 games, 1072 positions, 10579 ranked moves
22:55:55 RUNNING: 48 games, 1077 positions, 10620 ranked moves
22:56:00 RUNNING: 48 games, 1081 positions, 10660 ranked moves
22:56:05 RUNNING: 48 games, 1086 positions, 10710 ranked moves
22:56:10 RUNNING: 48 games, 1090 positions, 10750 ranked moves
22:56:15 RUNNING: 48 games, 1094 positions, 10790 ranked moves
22:56:20 RUNNING: 49 games, 1097 positions, 10812 ranked moves
22:56:25 RUNNING: 49 games, 1101 positions, 10852 ranked moves
22:56:30 RUNNING: 49 games, 1106 positions, 10902 ranked moves
22:56:35 RUNNING: 49 games, 1110 positions, 10942 ranked moves
22:56:40 RUNNING: 49 games, 1114 positions, 10982 ranked moves
22:56:45 RUNNING: 50 games, 1118 positions, 11020 ranked moves
22:56:50 RUNNING: 50 games, 1122 positions, 11060 ranked moves
22:56:55 RUNNING: 50 games, 1127 positions, 11110 ranked moves
22:57:00 RUNNING: 50 games, 1131 positions, 11150 ranked moves
22:57:05 RUNNING: 50 games, 1135 positions, 11190 ranked moves
22:57:10 RUNNING: 50 games, 1138 positions, 11220 ranked moves
22:57:16 RUNNING: 51 games, 1142 positions, 11260 ranked moves
